TrendID,ProductGroupID,TrendName,TrendDescription,StartDate,EndDate,MarketSegment,Region,TrendImpact,TrendScore,TrendSource
237,72,message,Treat test information catch pattern budget test mother.,2023-12-09,2022-04-16,by,Latvia,0.01,91,Stafford LLC
238,59,ground,His write speech still.,2021-09-13,2020-08-08,civil,Cyprus,0.65,79,Cardenas Inc
239,17,best,Institution under like city box try.,2021-10-14,2021-06-28,build,United Kingdom,0.28,92,Vang Inc
240,36,house,Wonder focus interesting particularly direction build.,2022-04-28,2023-01-22,article,Marshall Islands,0.11,48,Martin LLC
241,41,surface,Part among point or owner.,2024-03-17,2021-01-14,air,Trinidad and Tobago,0.69,92,"Huff, Kennedy and Taylor"
242,50,avoid,According behavior center population.,2020-02-13,2020-12-02,three,Algeria,0.15,85,Richards-Trevino
243,49,old,Surface executive leader form approach though environment.,2021-11-29,2023-06-02,body,Brazil,0.51,39,White-Turner
244,23,top,Buy chair student own must.,2020-09-28,2023-05-10,class,Syrian Arab Republic,0.52,68,James and Sons
245,33,teach,Whole tend seven never.,2022-12-02,2023-02-21,million,Svalbard & Jan Mayen Islands,0.38,37,Potts and Sons
246,41,ahead,Might model certainly personal want.,2020-11-27,2024-03-29,newspaper,Svalbard & Jan Mayen Islands,0.48,3,Marks-Haney
247,25,all,Mr whose minute sign itself.,2020-07-17,2023-03-24,job,Suriname,0.81,74,Wyatt-Cook
248,98,anything,Force easy next society.,2020-10-08,2023-04-06,run,Maldives,0.19,48,Morgan-Williams
249,50,technology,Business identify Republican available maybe apply.,2020-10-17,2024-06-03,buy,Montenegro,0.11,35,Leonard and Sons
250,84,sign,Democratic medical meet physical run newspaper me poor.,2021-02-02,2021-10-26,respond,Dominican Republic,0.22,9,Lopez Inc
251,41,enter,Often politics feel ahead certain significant guess.,2021-03-29,2021-03-17,down,Cook Islands,0.58,86,"Turner, Miller and Patterson"
252,12,remember,Process challenge probably foot information environmental hundred.,2021-01-31,2021-10-21,stuff,Canada,0.24,53,Anderson-Patel
253,16,gun,Beautiful again but interest cut.,2023-10-01,2021-05-04,seat,Belarus,0.33,56,Fernandez-Smith
254,84,score,Throughout partner value right glass field.,2022-08-20,2023-12-15,including,Afghanistan,0.63,99,"Baker, Henry and Collins"
255,49,thought,Lay seek something international man space Congress why.,2022-03-05,2023-12-21,theory,Jamaica,0.25,70,Lee Inc
256,60,how,Single leave design them traditional moment by.,2022-04-26,2020-01-07,program,Solomon Islands,0.78,63,"Conner, Santana and Campbell"
257,76,however,Trouble production letter stuff would.,2020-10-25,2024-06-11,land,Spain,0.7,38,Brewer-Whitehead
258,6,picture,Can can town generation man.,2022-08-02,2023-05-29,design,Burkina Faso,0.67,75,Gonzalez LLC
259,48,investment,Nothing add pay unit success week space.,2024-01-26,2022-09-07,dog,Puerto Rico,0.16,44,"Castro, Mcguire and Parks"
260,99,lay,Ever author you.,2021-11-27,2021-11-29,home,Palau,0.78,80,George PLC
261,97,education,Help draw personal order thank.,2021-07-08,2023-03-02,will,Honduras,0.5,11,"Lam, Garcia and Howard"
262,9,hope,Only agreement truth other create store.,2021-06-28,2020-08-03,Republican,Samoa,0.95,31,Perez-Daniels
263,61,significant,Threat no pull foot central.,2020-03-19,2024-04-12,want,Canada,0.02,91,Coleman-Petersen
264,43,modern,Candidate article security expert stock my.,2021-02-09,2020-04-14,push,Luxembourg,0.46,72,Shaffer-Lewis
265,17,open,Than type chair water mention.,2023-11-22,2024-03-01,suffer,Congo,0.31,22,"Melton, Calderon and Smith"
266,12,peace,Participant process floor.,2020-07-29,2023-04-08,campaign,Canada,0.87,36,Johnson-Hernandez
267,35,approach,Ready at indicate customer.,2023-02-01,2023-07-28,hospital,Bermuda,0.81,84,"Perez, Miller and West"
268,39,official,Husband ball natural relationship.,2020-03-18,2021-08-04,son,Spain,0.14,69,"Dixon, Murphy and Forbes"
269,33,stay,How subject dinner article economy action report.,2023-10-20,2020-10-06,region,Cyprus,0.42,50,Bridges-Gutierrez
270,96,able,Interesting century page from test.,2023-10-01,2020-08-26,according,Guatemala,0.78,11,Serrano-Johnson
271,55,reveal,Create try employee southern system.,2023-07-13,2020-10-16,change,Ukraine,0.03,2,"Johnson, Flores and Rodriguez"
272,74,put,Thousand bring program political central tend.,2022-10-13,2024-04-23,certainly,Indonesia,0.68,33,Valdez-Barton
273,13,second,Wind air produce medical debate.,2021-11-22,2022-08-31,what,Armenia,0.66,56,Murphy Group
274,95,own,Also effort thus important worry.,2023-08-26,2023-12-07,TV,Korea,0.85,43,"Hammond, Rivera and Ramsey"
275,98,though,Partner professional similar listen bar government help.,2022-09-30,2022-04-13,relationship,Myanmar,0.19,4,"Smith, Haynes and Morrow"
276,59,suffer,Significant wrong Mrs police.,2023-10-31,2024-04-01,word,Panama,0.54,2,"Johnson, Parker and Massey"
277,97,eight,Whom thing professor authority.,2023-02-06,2020-06-25,green,Brazil,0.75,98,Goodman-Clark
278,18,young,They particularly individual federal toward bill.,2023-11-09,2022-01-14,others,Ireland,0.65,29,Brown-Barker
279,94,race,Grow who hear.,2021-09-15,2021-05-03,town,Latvia,0.17,58,Torres LLC
280,100,machine,Whether painting model pay.,2021-03-05,2023-07-03,like,Eritrea,0.58,96,Hodge-Smith
281,25,again,Start might paper hand Congress.,2022-08-09,2020-04-23,people,Panama,0.8,58,"Chang, Chavez and Moore"
282,81,experience,Push pick way area building employee.,2020-01-10,2022-03-29,defense,British Indian Ocean Territory (Chagos Archipelago),0.72,3,"Henderson, Wu and Massey"
283,39,personal,Food financial put we.,2022-06-29,2023-01-12,yard,Kenya,0.32,31,Good-Jones
284,11,future,Believe article too really.,2021-05-14,2021-11-06,check,Latvia,0.75,38,Wright-Johnson
285,21,seat,Must similar worry shake light reality fight.,2021-10-29,2022-09-07,everybody,Falkland Islands (Malvinas),0.11,17,Brennan-Lee
286,23,week,Lot factor loss above understand become.,2022-06-12,2024-05-02,player,South Africa,0.51,24,Knight Ltd
287,60,century,Along forward single recent.,2024-01-30,2022-06-07,trouble,Saint Lucia,0.61,25,"Cruz, Coleman and Hall"
288,11,knowledge,Operation thank property back industry go commercial game.,2023-12-12,2021-06-16,than,French Guiana,0.68,6,Roman Ltd
289,21,light,Practice society rich power leave.,2020-01-04,2020-11-16,past,United States of America,0.14,85,Perry-Jackson
290,58,player,Present see technology thank your idea.,2024-04-22,2022-07-01,garden,Senegal,0.89,44,"Johnson, Castillo and Mcdonald"
291,35,hand,Almost bag story almost store break.,2022-12-08,2020-11-25,answer,French Polynesia,0.39,76,Norman and Sons
292,75,management,Political mother paper sound general here.,2020-07-06,2021-08-05,teach,Germany,0.96,51,Adkins Group
293,70,hot,Station add federal rate hear.,2021-07-15,2021-04-26,with,Nigeria,0.99,46,Clark-Young
294,59,key,Century simple find gun his.,2020-10-10,2022-02-21,something,Lao People's Democratic Republic,0.02,39,"Mccarthy, Smith and Weber"
295,42,compare,It bed case could.,2022-02-26,2021-03-29,on,Seychelles,0.42,66,Sutton Ltd
296,90,pretty,Common woman north try himself always.,2020-09-14,2021-05-13,site,Australia,0.0,55,Perkins-Richardson
297,98,beautiful,Easy hair big protect.,2023-03-09,2023-04-03,rich,Tunisia,0.46,73,Hammond-Moore
298,30,player,Possible who energy usually sign put dog as.,2021-10-16,2023-07-06,national,Macao,0.07,62,Garcia-Rivera
299,95,available,Raise their fact hair this any tend.,2021-10-11,2021-11-20,reveal,Chad,0.3,52,Morales-Smith
300,62,direction,Over difficult must.,2024-05-26,2021-12-23,cause,Ukraine,0.36,17,"Woods, Stewart and Mccormick"
